model,threshold,roc_auc,pr_auc,f1,accuracy,log_loss
rf train,0.5,0.9997115125777059,0.9994353450079273,0.9858767654043245,0.9903294822421909,0.13280364294394945
gb train,0.5,0.8575520810566309,0.7392901279805089,0.6922588025931105,0.7928112965340179,0.4408459340742719
logreg train,0.5,0.8392288481811414,0.6995477143343959,0.6791932857321809,0.7808301240907146,0.4642914447470496
svc train,0.5,0.8385525574596745,0.7010118534482848,0.6782259077773589,0.7808301240907146,0.4655126339246995
svc test,0.5,0.8250039657029313,0.6745467621318637,0.6568825910931174,0.7679671457905544,0.4814510359896039
logreg test,0.5,0.8262369862327492,0.6743995560362257,0.6485933503836318,0.7648870636550308,0.47951867459481284
gb test,0.5,0.8277525630964209,0.6731333721836353,0.6479017400204709,0.7645448323066393,0.47904514910935136
rf test,0.5,0.7969633151606735,0.6254124756175041,0.6001056524035921,0.740930869267625,0.5997843060211011
allways_false test,0.5,0.5,0.3401779603011636,0.0,0.6598220396988365,12.261256491711995
allways_false train,0.5,0.5,0.34035087719298246,0.0,0.6596491228070176,12.267489048225835
