model,roc_auc,pr_auc,f1,accuracy,log_loss
rf train,1.0,0.9999999999999999,1.0,1.0,0.12524914923269168
gb train,0.8641785876106586,0.7511353996865738,0.6972101356539544,0.7974835230677052,0.4327570733595716
logreg train,0.8418082471485896,0.7025432255449275,0.6789612344749718,0.7809637935461782,0.46120925234945237
svc train,0.8325462735671717,0.700776880827589,0.6634589681903235,0.7844731661388342,0.4783939539495611
gb test,0.8289513938848452,0.6758191307317182,0.6525773195876289,0.7692571037315987,0.4765338158619227
logreg test,0.8249726694364422,0.6747423969052697,0.6643180674383493,0.7716535433070866,0.48081919346417207
rf test,0.8199753789994768,0.6626067003544679,0.6503642039542143,0.7699418007531668,0.48989090323127427
svc test,0.8028691087886948,0.6770251988477626,0.629092860976919,0.7634371790482711,0.5058735146442238
allways_false test,0.5,0.3402944197192742,0.0,0.6597055802807258,12.265454114612272
allways_false train,0.5,0.34040914148763163,0.0,0.6595908585123684,12.269589106267134
